2026-06-25 14:47:46.596 [info] Starting Excalidraw MCP server...
2026-06-25 14:47:46.599 [debug] Connecting to transport...
2026-06-25 14:47:46.676 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.676 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.676 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.677 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.677 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.678 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.679 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.679 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.679 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.679 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.679 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.679 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.680 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.680 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.680 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.680 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.680 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.681 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.681 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.681 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.681 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.681 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.681 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.682 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.682 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.682 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.682 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.683 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.683 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.683 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.683 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.684 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.684 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.684 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.684 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.685 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.685 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.685 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.685 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.686 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.686 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.687 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.687 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.687 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.687 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.687 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.688 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.688 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.688 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.688 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.688 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.689 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.689 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.689 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.689 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.690 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.690 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.690 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.690 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.691 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.691 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.691 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.692 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.692 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.692 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.692 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.692 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.692 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.692 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.693 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.693 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.693 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.693 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.693 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.693 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.693 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.694 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.694 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.694 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.694 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.694 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.694 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.694 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.695 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.695 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.695 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.695 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.696 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.696 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.696 [error] Uncaught exception: EPIPE: broken pipe, write
2026-06-25 14:47:46.697 [error] Uncaught exception: EPIPE: broken pipe, write
